PMCID,DOI,Field,Category,CopilotValue,HumanValue,CopilotHasNumericOrPercent,HumanHasNumericOrPercent,NumericOrPercentPresence,NumericOrPercentComparable,NumericMatch,PercentMatch,DirectNumericPercentMatch,CopilotMissingMode,HumanStrongNegative,NeiRelevant,NeiScore,NeiRule,CopilotYesNo,HumanYesNo,YesNoRelevant,YesNoComparable,YesNoScore,YesNoRule,CopilotUrlCount,HumanUrlCount,UrlRelevant,UrlComparable,UrlScore,UrlRule
PMC10541796,10.1093/gigascience/giad071,optimization/config,optimization,"* Configuration Source: ""An archival copy of the code and supporting data is also available via the GigaScience database, GigaDB [xx]"" | Not enough information is available
  * URL: http://dx.doi.org/10.5524/102420
  * Note: The exact configuration files are not specified, but the above URL points to the supporting data repository where they might be located.",URL: https://github.com/juaml/ConfoundLeakage/blob/main/leakconfound/leakconfound/experiments/helper_func.py. License: GNU Affero General Public License v3.0,True,True,True,True,False,False,False,partial_missing,False,True,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,1,1,True,True,0.0,no_url_match
PMC10600917,10.1093/gigascience/giad083,model/availability,model,"* **Source Code Released**: Yes.

* **Code URL/License**:
  - Source: https://gitlab.com/sysbiobig/mlonmicrobiome | License: GNU GPL

* **Simplified Run Method**: Not enough information is available.",The source code is open to the public at https://gitlab.com/sysbiobig/mlonmicrobiome with GNU General Public License. ,False,False,False,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,1,1,True,True,1.0,url_full_match
PMC10603766,10.1093/gigascience/giad082,dataset/availability,dataset,"* **Dataset Publicly Available**: Yes.

* **Dataset URL/License**:
  * https://doi.org/10.5281/zenodo.7555467 | Not enough information is available.
  * https://doi.org/10.5281/zenodo.7552508 | Not enough information is available.
  * https://doi.org/10.5281/zenodo.8211845 | Not enough information is available.","All the images used for training, validation, and testing are available at Zenodo with the DOI: https://doi.org/10.5281/zenodo.7555467 (Creative Commons — CC0 license).",True,True,True,True,True,False,True,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,3,1,True,True,0.5,url_partial_match
PMC10603766,10.1093/gigascience/giad082,model/availability,model,"* **Source Code Released**: Yes.

* **Code URL/License**:
  * Source: https://github.com/ | License: Not enough information is available.

* **Simplified Run Method**:
  * Tool Type: Web Server | URL: http://spheroscan.appengine.flow.ch/",The source code for SpheroScan is available at https://github.com/FunctionalUrology/SpheroScan with GNU GENERAL PUBLIC LICENSE.,False,False,False,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,2,1,True,True,0.0,no_url_match
PMC10653424,10.1371/journal.pcbi.1011563,dataset/availability,dataset,"* **Dataset Publicly Available**: Yes.

* **Dataset URL/License**:
  * https://github.com/maslov-group/FUN-PROSE | Creative Commons Attribution License.",Preprocessed data linked in a Google drive: https://drive.google.com/drive/folders/19K5DxFVpjozpd1rKnBvZZzDmnPp1-Ldw & also off of the main GitHub (https://github.com/maslov-group/FUN-PROSE/blob/main/README.md).,False,True,True,False,False,False,False,other,False,False,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,1,2,True,True,0.0,no_url_match
PMC10653424,10.1371/journal.pcbi.1011563,model/availability,model,"* **Source Code Released**: Yes.

* **Code URL/License**:
  * Source: https://github.com/maslov-group/FUN-PROSE | License: Not enough information is available.

* **Simplified Run Method**: Not enough information is available.",GitHub repository: https://github.com/maslov-group/FUN-PROSE. Primarily in python and jupyter notebooks. No containers present in the repo or other run method support/variations. ,False,False,False,False,False,False,False,partial_missing,True,True,0.5,partial_missing_to_negative_half_match,yes,no,True,True,0.0,yesno_mismatch,1,1,True,True,1.0,url_full_match
PMC10659119,10.1093/gigascience/giad096,model/availability,model,"* **Source Code Released**: Yes.

* **Code URL/License**:
  - Source: https://github.com/ | License: Not enough information is available.

* **Simplified Run Method**: Not enough information is available.","Yes the source code for our testing is here: https://gitlab.com/tjobbertjob/ms-review-paper
with the underlying code being available here: https://gitlab.com/roettgerlab/ms2ai",False,True,True,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,1,2,True,True,0.0,no_url_match
PMC10684096,10.1371/journal.pone.0294812,dataset/availability,dataset,"* **Dataset Publicly Available**: Yes.

* **Dataset URL/License**:
  * https://github.com/globalbiodata/inventory_2022/blob/main/data/epmc_query_results_2022.csv | Not enough information is available
  * https://github.com/globalbiodata/inventory_2022/blob/main/data/manual_classifications.csv | Not enough information is available
  * https://github.com/globalbiodata/inventory_2022/blob/main/data/manual_ner_extraction.csv | Not enough information is available
  * https://github.com/globalbiodata/inventory_2022/blob/main/data/manually_reviewed_inventory.csv | Not enough information is available
  * https://github.com/globalbiodata/inventory_2022/blob/main/data/final_inventory_2022.csv | Not enough information is available","Yes, all the data in the dataset that was used has been documented in the Zenodo repository. The original source literature dataset remains available in the Europe PMC database. Biodata Resource Inventory Code Release: https://zenodo.org/records/10105162

EPMC database: https://europepmc.org/

EPMC licensing policy: https://plus.europepmc.org/user-guide#Licensing_policies",True,True,True,True,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,5,3,True,True,0.0,no_url_match
PMC10684096,10.1371/journal.pone.0294812,optimization/config,optimization,"* Configuration Source:
  * Model Configuration: https://github.com/globalbiodata/inventory_2022/blob/main/config/models_info.tsv | Not enough information is available
  * Training Configuration: https://github.com/globalbiodata/inventory_2022/blob/main/config/train_predict.yml | Not enough information is available
  * Python Code Formatting: https://github.com/globalbiodata/inventory_2022/blob/main/config/.pylintrc | Not enough information is available
  * Query Configuration: https://github.com/globalbiodata/inventory_2022/blob/main/config/query.txt | Not enough information is available
  * Hyperparameters: S4 Table | Not enough information is available",Hyperparameters detailed in 'S4 Table. Hyperparameters used for model fine-tuning for article classification and NER tasks.' - Zenodo PDF: https://doi.org/10.1371/journal.pone.0294812.s008,True,True,True,True,True,False,True,partial_missing,False,True,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,4,1,True,True,0.0,no_url_match
PMC10684096,10.1371/journal.pone.0294812,model/availability,model,"* **Source Code Released**: Yes.

* **Code URL/License**:
  * Source: https://github.com/globalbiodata/inventory_2022/tree/main/src | License: Not enough information is available
  * Source: https://github.com/globalbiodata/inventory_2022/tree/main/snakemake | License: Not enough information is available
  * Source: https://github.com/globalbiodata/inventory_2022/blob/main/running_pipeline.ipynb | License: Not enough information is available
  * Source: https://github.com/globalbiodata/inventory_2022/blob/main/updating_inventory.ipynb | License: Not enough information is available
  * Source: https://github.com/globalbiodata/inventory_2022/blob/main/config/query.txt | License: Not enough information is available
  * Source: https://github.com/globalbiodata/inventory_2022/blob/main/config/models_info.tsv | License: Not enough information is available
  * Source: https://github.com/globalbiodata/inventory_2022/blob/main/config/train_predict.yml | License: Not enough information is available
  * Source: https://github.com/globalbiodata/inventory_2022/blob/main/config/.pylintrc | License: Not enough information is available

* **Simplified Run Method**:
  * Tool Type: Google Colab Protocol | URL: https://www.protocols.io/view/set-up-biodata-resource-inventory-in-google-colab-5jyl89o36v2w/v1",Source code available: Yes - https://zenodo.org/records/10105162. Algorithms and models can be run using the 2x Snakemake reusable pipelines and also an iPython notebook (ipynb) file is available for use Google Colab/other notebook deployment platforms. ,True,True,True,True,True,False,True,partial_missing,False,True,0.0,no_nei_match,yes,yes,True,True,1.0,yesno_match,9,1,True,True,0.0,no_url_match
PMC10716825,10.1093/gigascience/giad108,model/availability,model,"* Source Code Released: Yes.
* Code URL/License:
  * Source: https://github.com/FunctionalUrology/MLcps | License: GNU GPL
* Simplified Run Method:
  * Not enough information is available.",The source code for MLcps is available at https://github.com/FunctionalUrology/MLcps with GNU GENERAL PUBLIC LICENSE.,False,False,False,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,1,1,True,True,1.0,url_full_match
PMC10730818,10.1038/s41467-023-43934-4,dataset/availability,dataset,"* **Dataset Publicly Available**: Yes.

* **Dataset URL/License**:
  * https://github.com/psipred/Merizo/tree/main/datasets | Not enough information is available.
  * https://ftp.ebi.ac.uk/pub/databases/alphafold/latest/UP000005640_9606_HUMAN_v4.tar | Not enough information is available.
  * https://www.rcsb.org | Not enough information is available.",The code and network weights of Merizo are available at https://github.com/psipred/Merizo,True,False,True,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,3,1,True,True,0.0,no_url_match
PMC10730818,10.1038/s41467-023-43934-4,optimization/config,optimization,* Configuration Source: https://github.com/psipred/Merizo | Not enough information is available.,The model is accessible through https://github.com/psipred/Merizo,False,False,False,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,1,1,True,True,1.0,url_full_match
PMC10730818,10.1038/s41467-023-43934-4,model/availability,model,"* **Source Code Released**: Yes.

* **Code URL/License**:
  - Source: https://github.com/psipred/Merizo | License: Not enough information is available
  - Source: https://github.com/psipred/Merizo/tree/main/datasets | License: Not enough information is available

* **Simplified Run Method**: Not enough information is available.",It will be incorporated into the PSIPRED workbench at http://bioinf.cs.ucl.ac.uk/psipred/,False,False,False,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,2,1,True,True,0.0,no_url_match
PMC10762911,10.1186/s12915-023-01803-y,dataset/availability,dataset,"* **Dataset Publicly Available**: Yes.

* **Dataset URL/License**:
  * **Datasets**: https://doi.org/10.5281/zenodo.10361856 | Not enough information is available
  * **Source Code**: https://github.com/YihePang/DisoFLAG | Not enough information is available
  * **Web Server**: http://bliulab.net/DisoFLAG/ | Not enough information is available",All the data is available in the Github repository: https://github.com/YihePang/DisoFLAG/tree/main . They are also available on Zenodo: https://zenodo.org/records/10361856. The statistics about data are provided in the supplementary materials.,True,True,True,True,True,False,True,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,3,2,True,True,0.0,no_url_match
PMC10762911,10.1186/s12915-023-01803-y,model/availability,model,"* Source Code Released: Yes.

* Code URL/License:
  - Source: https://github.com/YihePang/DisoFLAG | License: Not enough information is available.

* Simplified Run Method:
  - Tool Type: Web Server: http://bliulab.net/DisoFLAG/.",software is available at : https://github.com/YihePang/DisoFLAG. webserver is available at: http://bliulab.net/DisoFLAG/,False,False,False,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,2,2,True,True,1.0,url_full_match
PMC10776382,10.1038/s41592-023-02086-5,dataset/availability,dataset,"* **Dataset Publicly Available**: Yes.

* **Dataset URL/License**:
  * **Training and Validation Data**: https://www.rcsb.org/ | Not enough information is available.
  * **Binding and Nonbinding DNA Sequence Dataset**: http://cisbp.ccbr.utoronto.ca/ | Not enough information is available.",All data used for training and evaluation is publicly available through the PDB (https://www.rcsb.org/). ,False,False,False,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,2,1,True,True,0.5,url_partial_match
PMC10776382,10.1038/s41592-023-02086-5,optimization/config,optimization,"* Configuration Source: https://github.com/uw-ipd/RoseTTAFold2NA | Not enough information is available
  * The URL provides access to the source code repository, which includes preprocessing and inference scripts, and a link to the model weights. The repository may contain configuration files necessary for reproducibility.
  * The text mentions specific training parameters such as batch size, learning rate, and weight values, which are crucial for reproducing the experiments. These details are found in the ""Training was carried out in parallel on 64 GPUs"" paragraph.",Source code and a link to the training weights have been made available at https://github.com/uw-ipd/RoseTTAFold2NA.,True,True,True,True,True,False,True,partial_missing,False,True,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,1,1,True,True,1.0,url_full_match
PMC10776382,10.1038/s41592-023-02086-5,model/availability,model,"* **Source Code Released**: Yes.

* **Code URL/License**:
  * Source: https://github.com/uw-ipd/RoseTTAFold2NA | License: Not enough information is available.

* **Simplified Run Method**:
  * Not enough information is available.",Source code and a link to the training weights have been made available at https://github.com/uw-ipd/RoseTTAFold2NA. The model can be used through a conda environment.,True,True,True,True,True,False,True,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,1,1,True,True,1.0,url_full_match
PMC10783149,10.1093/gigascience/giad111,model/availability,model,"* **Source Code Released**: Yes.

* **Code URL/License**:
  * Source: https://github.com/FunctionalUrology/MLme | License: GNU GPL

* **Simplified Run Method**:
  * Tool Type: Docker
  * Tool Type: Web Server: Not enough information is available",The source code for MLme is available at https://github.com/FunctionalUrology/MLme with GNU GENERAL PUBLIC LICENSE.,False,False,False,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,1,1,True,True,1.0,url_full_match
PMC10940896,10.46471/gigabyte.113,dataset/availability,dataset,"* **Dataset Publicly Available**: Yes.

* **Dataset URL/License**:
  * **IXI Dataset**: Not enough information is available | Not enough information is available
  * **ADNI Dataset**: https://adni.loni.usc.edu/ | Not enough information is available",The data splits are created using reproducible code you can find  in our GitHub repository under: https://github.com/juaml/julearn_paper/ with a Attribution-NonCommercial-ShareAlike 4.0 International licence.,False,True,True,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,1,1,True,True,0.0,no_url_match
PMC10940896,10.46471/gigabyte.113,model/availability,model,"* **Source Code Released**: Yes.

* **Code URL/License**:
  - Source: https://github.com/juaml/julearn | License: GNU AGPLv3
  - Source: https://github.com/juaml/julearn_paper | License: Not enough information is available

* **Simplified Run Method**: Not enough information is available.",Yes our examples are released here: https://github.com/juaml/julearn_paper/ (Attribution-NonCommercial-ShareAlike 4.0 International licence) and the actual software is released here https://github.com/juaml/julearn (GNU Affero General Public License),True,True,True,True,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,2,2,True,True,0.5,url_partial_match
PMC11034027,10.1093/gigascience/giae017,optimization/config,optimization,"* Configuration Source: https://github.com/nlm-irp-jianglab/SpikeHunter/blob/main/environment.yml | MIT
* Configuration Source: The model architecture and training details are described in the text on pages 2-4. The SpikeHunter model and code is available on GitHub at https://github.com/nlm-irp-jianglab/SpikeHunter.",Yes. The deep-learning model trained in this study is provided at https://figshare.com/articles/online_resource/SpikeHunter_trained_model_pth_file/23577051.,True,True,True,True,False,False,False,other,False,False,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,2,1,True,True,0.0,no_url_match
PMC11034027,10.1093/gigascience/giae017,model/availability,model,"* Source Code Released: Yes.
* Code URL/License:
  * Source: https://github.com/nlm-irp-jianglab/SpikeHunter | License: MIT
  * Source: https://github.com/nlm-irp-jianglab/TSP_paper | License: Not enough information is available
* Simplified Run Method: Not enough information is available.","Yes, the source code is released at https://github.com/nlm-irp-jianglab/SpikeHunter.",False,False,False,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,2,1,True,True,0.5,url_partial_match
PMC11223784,10.1093/nar/gkae385,model/availability,model,"* **Source Code Released**: No.

* **Code URL/License**: Not enough information is available.

* **Simplified Run Method**:
  * Tool Type: Web Server
    * URL: https://aiupred.elte.hu",Yes data and webserver are available at https://aiupred.elte.hu/statistics.,False,False,False,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,no,none,True,False,0.0,yesno_not_comparable,1,1,True,True,0.0,no_url_match
PMC11340644,10.1093/gigascience/giae059,model/availability,model,"* **Source Code Released**: Yes.

* **Code URL/License**:
  * Source: https://github.com/ | License: Not enough information is available
  * Source: https://pypi.org/ | License: Not enough information is available
  * Source: https://anaconda.org/bioconda | License: Not enough information is available

* **Simplified Run Method**:
  * Tool Type: Bioconda Package: https://anaconda.org/bioconda
  * Tool Type: PyPi Package: https://pypi.org/
  * Tool Type: GitHub Repository: https://github.com/",It can be access by https://github.com/GreyGuoweiChen/VirHost,False,False,False,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,3,1,True,True,0.0,no_url_match
PMC11345537,10.1093/gigascience/giae057,dataset/availability,dataset,"* **Dataset Publicly Available**: Yes.

* **Dataset URL/License**:
  * GBMatch supplementary website: https://www.medical-epigenomics.org/papers/GBMatch/#histo | Not enough information is available.
  * Zenodo repository: https://doi.org/10.5281/zenodo.8358673 | Creative Commons Zero v1.0 Universal Public Domain Dedication.
  * cBioPortal: https://www.cbioportal.org | Not enough information is available.
  * GDC Data Portal: https://portal.gdc.cancer.gov | Not enough information is available.","The splits for the training data are published in the corresponding github repository (https://github.com/tovaroe/GBMatch_CNN, GPL 3.0).",True,True,True,True,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,4,1,True,True,0.0,no_url_match
PMC11345537,10.1093/gigascience/giae057,model/availability,model,"* **Source Code Released**: Yes.

* **Code URL/License**:
  - Source: https://github.com/tovaroe/GBMatch_CNN | License: GPL-3.0

* **Simplified Run Method**:
  - Not enough information is available.",The source code is released via github: https://github.com/tovaroe/GBMatch_CNN (GPL 3.0),True,True,True,True,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,1,1,True,True,1.0,url_full_match
