uid,pmcid,pmid,year
11729175,PMC1461867,11729175,2001
11731481,PMC312833,11731481,2001
11765851,,11765851,2001
11767237,,11767237,2001
11770920,,11770920,2001
11776733,,11776733,2001
11776735,,11776735,2001
11776737,,11776737,2001
11783444,PMC2565376,11783444,2001
11791220,,11791220,2001
11793771,,11793771,2001
11825160,PMC2243419,11825160,2001
11825177,PMC2243299,11825177,2001
11825195,PMC2243636,11825195,2001
11825196,PMC2243565,11825196,2001
11825203,PMC2243528,11825203,2001
11825207,PMC2243525,11825207,2001
11825230,PMC2243377,11825230,2001
11825239,PMC2243599,11825239,2001
11825255,PMC2243620,11825255,2001
11825275,PMC2243698,11825275,2001
11825277,PMC2243686,11825277,2001
11825285,PMC2243574,11825285,2001
11833477,PMC2243564,11833477,2001
11837217,PMC2243278,11837217,2001
14632168,,14632168,2001
18244384,,18244384,2001
18244787,,18244787,2001
18249921,,18249921,2001
18628865,PMC2447224,18628865,2001
29503497,PMC5830172,29503497,2001
11742675,,11742675,2002
11751294,PMC1302447,11751294,2002
11773027,,11773027,2002
11779685,,11779685,2002
11779829,PMC155252,11779829,2002
11779846,PMC155261,11779846,2002
11784144,,11784144,2002
11786909,,11786909,2002
11836224,,11836224,2002
11839180,PMC1692924,11839180,2002
11840360,PMC379118,11840360,2002
11847071,,11847071,2002
11849962,,11849962,2002
11854507,PMC122328,11854507,2002
11861572,PMC1461997,11861572,2002
11861627,PMC344569,11861627,2002
11861926,PMC101257,11861926,2002
11868916,,11868916,2002
11875034,PMC155284,11875034,2002
11922947,,11922947,2002
11932232,PMC118066,11932232,2002
11934042,,11934042,2002
11971887,PMC344586,11971887,2002
11972320,PMC107726,11972320,2002
11972913,,11972913,2002
11976246,PMC1122955,11976246,2002
11981881,,11981881,2002
11983058,PMC115205,11983058,2002
12003672,PMC6740144,12003672,2002
12011399,PMC128587,12011399,2002
12034849,PMC117187,12034849,2002
12039738,PMC123922,12039738,2002
12058610,PMC1351388,12058610,2002
12060770,PMC123057,12060770,2002
12067737,,12067737,2002
12079668,PMC1692991,12079668,2002
12084220,,12084220,2002
12095431,PMC2730326,12095431,2002
12112679,,12112679,2002
12115122,,12115122,2002
12136998,,12136998,2002
12147600,,12147600,2002
12169525,,12169525,2002
12169532,,12169532,2002
12169544,,12169544,2002
12177304,PMC134239,12177304,2002
12182206,,12182206,2002
12182210,,12182210,2002
12184805,PMC139383,12184805,2002
12195865,PMC4953397,12195865,2002
12211036,,12211036,2002
12214886,,12214886,2002
12223503,PMC346638,12223503,2002
12225620,PMC129981,12225620,2002
12234718,,12234718,2002
12234719,,12234719,2002
12241064,,12241064,2002
12364609,PMC140555,12364609,2002
12368246,PMC187530,12368246,2002
12368251,PMC187532,12368251,2002
12385981,,12385981,2002
12385995,,12385995,2002
12386008,,12386008,2002
12386108,PMC349374,12386108,2002
12386112,PMC349378,12386112,2002
12386113,PMC349379,12386113,2002
12407212,,12407212,2002
12415721,,12415721,2002
12421757,PMC187551,12421757,2002
12428814,PMC6653940,12428814,2002
12442768,,12442768,2002
12460461,PMC5926895,12460461,2002
12463776,PMC2244172,12463776,2002
12463800,PMC2244521,12463800,2002
12463818,PMC2244319,12463818,2002
12463819,PMC2244217,12463819,2002
12463844,PMC2244375,12463844,2002
12463845,PMC2244180,12463845,2002
12463853,PMC2244387,12463853,2002
12463867,PMC2244212,12463867,2002
12463878,PMC2244149,12463878,2002
12463891,PMC2244576,12463891,2002
12463949,PMC2244467,12463949,2002
12463952,PMC2244489,12463952,2002
12463958,PMC2244381,12463958,2002
12463964,PMC2244368,12463964,2002
12477931,PMC139177,12477931,2002
12479554,,12479554,2002
12488462,,12488462,2002
12499537,PMC2745878,12499537,2002
12499538,PMC2745879,12499538,2002
12528196,,12528196,2002
12537558,PMC151171,12537558,2002
12544491,,12544491,2002
12585709,,12585709,2002
12588039,,12588039,2002
12611628,,12611628,2002
12614551,,12614551,2002
12667496,,12667496,2002
12805987,PMC6009482,12805987,2002
12806024,PMC6009272,12806024,2002
12806042,PMC6009754,12806042,2002
12968784,,12968784,2002
14571388,,14571388,2002
15130837,,15130837,2002
15460709,,15460709,2002
15838135,,15838135,2002
18244476,,18244476,2002
18244477,,18244477,2002
18244517,,18244517,2002
18628855,PMC2447276,18628855,2002
18628880,PMC2447240,18628880,2002
21479123,PMC3072251,21479123,2002
22151781,,22151781,2002
23413413,PMC3569849,23413413,2002
27446728,PMC4861354,27446728,2002
12499302,,12499302,2003
12538452,PMC12422025,12538452,2003
12540298,PMC151290,12540298,2003
12547778,PMC1302674,12547778,2003
12553886,PMC149349,12553886,2003
12576098,,12576098,2003
12582251,PMC150236,12582251,2003
12584117,PMC7109833,12584117,2003
12590113,,12590113,2003
12590119,,12590119,2003
12595401,PMC150365,12595401,2003
12603013,,12603013,2003
12603028,,12603028,2003
12603045,,12603045,2003
12603048,PMC2916681,12603048,2003
12603058,,12603058,2003
12618382,PMC430281,12618382,2003
12636976,,12636976,2003
12640447,,12640447,2003
12642676,PMC153066,12642676,2003
12643277,,12643277,2003
12647312,,12647312,2003
12651895,PMC196017,12651895,2003
12653536,,12653536,2003
12654996,PMC152812,12654996,2003
12664682,,12664682,2003
12668687,PMC181983,12668687,2003
12670017,,12670017,2003
12671006,PMC430175,12671006,2003
12679926,PMC4611444,12679926,2003
12689350,PMC153503,12689350,2003
12689374,PMC1693128,12689374,2003
12689379,PMC1693137,12689379,2003
12695322,PMC430892,12695322,2003
12709127,,12709127,2003
12716127,,12716127,2003
12717015,PMC2323863,12717015,2003
12717029,PMC2323877,12717029,2003
12740584,,12740584,2003
12748210,PMC1767682,12748210,2003
12758155,,12758155,2003
12760836,PMC1241516,12760836,2003
12761696,PMC1180593,12761696,2003
12767148,,12767148,2003
12771208,PMC156721,12771208,2003
12790141,PMC1241517,12790141,2003
12791781,PMC3456546,12791781,2003
12795817,PMC165662,12795817,2003
12801863,,12801863,2003
12801876,,12801876,2003
12806122,PMC5974741,12806122,2003
12807805,PMC212787,12807805,2003
12808139,PMC164657,12808139,2003
12816566,,12816566,2003
12823981,,12823981,2003
12824345,PMC168997,12824345,2003
12824362,PMC168932,12824362,2003
12824375,PMC168934,12824375,2003
12824378,PMC169008,12824378,2003
12824397,PMC168961,12824397,2003
12824435,PMC168981,12824435,2003
12824437,PMC168920,12824437,2003
12824482,PMC2323918,12824482,2003
12829802,PMC166187,12829802,2003
12835259,,12835259,2003
12835260,,12835260,2003
12840044,PMC403741,12840044,2003
12840046,PMC403744,12840046,2003
12846935,PMC183838,12846935,2003
12847297,PMC5974797,12847297,2003
12850146,,12850146,2003
12850151,,12850151,2003
12850313,,12850313,2003
12855459,,12855459,2003
12855479,,12855479,2003
12860209,,12860209,2003
12875988,PMC1868218,12875988,2003
12876310,PMC2323947,12876310,2003
12893118,,12893118,2003
12893119,,12893119,2003
12896860,PMC1241620,12896860,2003
12899269,,12899269,2003
12902385,PMC403788,12902385,2003
12903653,PMC1693218,12903653,2003
12903672,PMC1693211,12903672,2003
12904067,,12904067,2003
12914655,PMC193639,12914655,2003
12925547,PMC264432,12925547,2003
12930761,PMC1462648,12930761,2003
12935347,,12935347,2003
12952525,PMC193646,12952525,2003
12952531,PMC193652,12952531,2003
12957778,,12957778,2003
12957779,,12957779,2003
12957782,,12957782,2003
12958717,,12958717,2003
12965182,,12965182,2003
12973731,,12973731,2003
14500893,PMC2366916,14500893,2003
14500916,PMC208741,14500916,2003
14502500,,14502500,2003
14512352,,14512352,2003
14519846,PMC218745,14519846,2003
14534170,,14534170,2003
14534183,,14534183,2003
14535236,PMC7135773,14535236,2003
14558912,,14558912,2003
14560050,,14560050,2003
14576105,PMC253768,14576105,2003
14583099,PMC280651,14583099,2003
14583755,PMC2394420,14583755,2003
14604446,PMC293475,14604446,2003
14606364,,14606364,2003
14608797,,14608797,2003
14610404,,14610404,2003
14615629,PMC514267,14615629,2003
14624250,PMC261887,14624250,2003
14630648,,14630648,2003
14632431,,14632431,2003
14632438,,14632438,2003
14632457,,14632457,2003
14633393,,14633393,2003
14641098,,14641098,2003
14651757,PMC302113,14651757,2003
14656968,PMC403805,14656968,2003
14659012,PMC329414,14659012,2003
14664023,,14664023,2003
14667302,,14667302,2003
14668369,PMC1462821,14668369,2003
14685688,PMC11138487,14685688,2003
14685850,PMC12161827,14685850,2003
14702992,,14702992,2003
14728128,PMC1480096,14728128,2003
14728147,PMC1480054,14728147,2003
14728149,PMC1480028,14728149,2003
14728197,PMC1479982,14728197,2003
14728211,PMC1479904,14728211,2003
14728216,PMC1479944,14728216,2003
14728261,PMC1479984,14728261,2003
14728264,PMC1480234,14728264,2003
14728266,PMC1480214,14728266,2003
14728275,PMC1479908,14728275,2003
14728339,PMC1480310,14728339,2003
14728450,PMC1480271,14728450,2003
15126209,,15126209,2003
15126219,,15126219,2003
15130820,,15130820,2003
15290768,,15290768,2003
15290785,,15290785,2003
15706522,,15706522,2003
15706523,,15706523,2003
15706535,,15706535,2003
16452778,,16452778,2003
18238014,,18238014,2003
18238062,,18238062,2003
18238072,,18238072,2003
18238074,,18238074,2003
18629019,PMC2447301,18629019,2003
18629025,PMC2447307,18629025,2003
18629028,PMC2447310,18629028,2003
18629078,PMC2447363,18629078,2003
18629082,PMC2447367,18629082,2003
18629086,PMC2447372,18629086,2003
18629117,PMC2447404,18629117,2003
21057672,PMC2970931,21057672,2003
22754884,PMC3384521,22754884,2003
25745642,PMC4347537,25745642,2003
26120284,PMC4480607,26120284,2003
14681405,PMC308794,14681405,2004
14691223,PMC2286519,14691223,2004
14693806,,14693806,2004
14715090,PMC317694,14715090,2004
14723497,,14723497,2004
14730315,,14730315,2004
14739578,,14739578,2004
14741641,,14741641,2004
14751997,PMC2573998,14751997,2004
14758193,,14758193,2004
14764613,PMC400515,14764613,2004
14766973,PMC387301,14766973,2004
14768006,,14768006,2004
14871877,,14871877,2004
14960716,PMC373391,14960716,2004
14960723,PMC373407,14960723,2004
14963120,PMC369210,14963120,2004
14969706,,14969706,2004
14970381,PMC1370931,14970381,2004
14976029,,14976029,2004
14978300,PMC2286721,14978300,2004
14988121,,14988121,2004
14988129,,14988129,2004
14990442,,14990442,2004
14990451,,14990451,2004
14990457,,14990457,2004
14992504,PMC2891021,14992504,2004
14995760,,14995760,2004
14997542,,14997542,2004
14997569,,14997569,2004
15006023,,15006023,2004
15006027,,15006027,2004
15006145,,15006145,2004
15028651,PMC1867776,15028651,2004
15032552,,15032552,2004
15032659,,15032659,2004
15033872,,15033872,2004
15036149,,15036149,2004
15037748,PMC387298,15037748,2004
15048078,,15048078,2004
15052640,,15052640,2004
15055799,,15055799,2004
15064284,PMC436083,15064284,2004
15068191,,15068191,2004
15070403,PMC385222,15070403,2004
15073010,,15073010,2004
15081077,,15081077,2004
15087500,PMC404084,15087500,2004
15090078,PMC419405,15090078,2004
15096640,PMC2286765,15096640,2004
15102677,,15102677,2004
15105828,PMC1299059,15105828,2004
15112041,,15112041,2004
15112367,,15112367,2004
15113409,PMC406491,15113409,2004
15114052,PMC7086522,15114052,2004
15115543,PMC420232,15115543,2004
15119966,PMC419697,15119966,2004
15120654,,15120654,2004
15128922,,15128922,2004
15134529,,15134529,2004
15139752,,15139752,2004
15144981,,15144981,2004
15148356,PMC419591,15148356,2004
15152974,,15152974,2004
15154767,,15154767,2004
15154777,,15154777,2004
15154966,PMC421631,15154966,2004
15162482,,15162482,2004
15166311,,15166311,2004
15170512,PMC11138489,15170512,2004
15173118,PMC419791,15173118,2004
15174127,,15174127,2004
15180898,PMC421745,15180898,2004
15180929,,15180929,2004
15180934,,15180934,2004
15181176,PMC434425,15181176,2004
15184254,,15184254,2004
15185674,PMC7167077,15185674,2004
15186482,PMC463050,15186482,2004
15187068,PMC516246,15187068,2004
15188874,,15188874,2004
15188881,,15188881,2004
15189571,PMC459208,15189571,2004
15201190,,15201190,2004
15202951,PMC449705,15202951,2004
15205947,PMC12161877,15205947,2004
15207009,PMC449699,15207009,2004
15208196,,15208196,2004
15212693,PMC449700,15212693,2004
15215412,PMC441623,15215412,2004
15215416,PMC441554,15215416,2004
15215430,PMC441614,15215430,2004
15215466,PMC441565,15215466,2004
15215532,PMC2279939,15215532,2004
15217811,,15217811,2004
15217823,,15217823,2004
15219288,,15219288,2004
15219292,,15219292,2004
15223803,PMC2928388,15223803,2004
15237926,,15237926,2004
15247093,,15247093,2004
15248531,,15248531,2004
15252153,PMC484181,15252153,2004
15261574,,15261574,2004
15262782,,15262782,2004
15262804,,15262804,2004
15262805,,15262805,2004
15262822,PMC12453083,15262822,2004
15272848,,15272848,2004
15272858,,15272858,2004
15274126,,15274126,2004
15277482,PMC2927843,15277482,2004
15281128,,15281128,2004
15297074,,15297074,2004
15299000,PMC524629,15299000,2004
15306403,PMC1693382,15306403,2004
15314210,,15314210,2004
15317449,,15317449,2004
15323002,,15323002,2004
15325656,,15325656,2004
15326133,PMC2928389,15326133,2004
15326855,,15326855,2004
15331223,,15331223,2004
15333146,PMC517617,15333146,2004
15333458,,15333458,2004
15345033,PMC517708,15345033,2004
15347802,PMC518779,15347802,2004
15351151,,15351151,2004
15352251,,15352251,2004
15356290,PMC519102,15356290,2004
15358614,,15358614,2004
15360839,,15360839,2004
15360855,PMC4299595,15360855,2004
15360888,,15360888,2004
15360892,,15360892,2004
15360910,,15360910,2004
15368348,,15368348,2004
15369082,,15369082,2004
15369604,PMC523850,15369604,2004
15374862,,15374862,2004
15376869,,15376869,2004
15378689,,15378689,2004
15383156,PMC526382,15383156,2004
15383839,PMC517822,15383839,2004
15384523,,15384523,2004
15385759,,15385759,2004
15388916,,15388916,2004
15446822,,15446822,2004
15446842,,15446842,2004
15447010,PMC1458526,15447010,2004
15448186,PMC521652,15448186,2004
15457557,PMC4611255,15457557,2004
15461798,PMC545600,15461798,2004
15465475,,15465475,2004
15465476,,15465476,2004
15465480,,15465480,2004
15465482,,15465482,2004
15466177,PMC1298184,15466177,2004
15466294,PMC524420,15466294,2004
15466562,PMC522091,15466562,2004
15468734,PMC2925425,15468734,2004
15470783,PMC7133983,15470783,2004
15475731,,15475731,2004
15479713,,15479713,2004
15483343,PMC2816330,15483343,2004
15484586,PMC4215973,15484586,2004
15484912,,15484912,2004
15484914,,15484914,2004
15491499,PMC529436,15491499,2004
15492032,PMC543832,15492032,2004
15494072,PMC529274,15494072,2004
15494078,PMC535924,15494078,2004
15511290,PMC535353,15511290,2004
15511504,,15511504,2004
15520581,,15520581,2004
15531151,,15531151,2004
15531599,,15531599,2004
15533257,PMC544898,15533257,2004
15534606,,15534606,2004
15535877,PMC545775,15535877,2004
15542019,,15542019,2004
15542021,,15542021,2004
15548451,,15548451,2004
15550577,,15550577,2004
15554662,,15554662,2004
15554692,,15554692,2004
15555859,,15555859,2004
15556479,,15556479,2004
15561789,PMC551552,15561789,2004
15561790,PMC551544,15561790,2004
15563599,PMC535372,15563599,2004
15576564,PMC2253325,15576564,2004
15585125,,15585125,2004
15585526,,15585526,2004
15585665,PMC535686,15585665,2004
15588312,PMC549719,15588312,2004
15601767,PMC539757,15601767,2004
15606919,PMC544855,15606919,2004
15608052,,15608052,2004
15608296,PMC545444,15608296,2004
15610553,PMC549721,15610553,2004
15613242,PMC544851,15613242,2004
15614348,,15614348,2004
15630474,PMC539058,15630474,2004
15631138,,15631138,2004
15663000,,15663000,2004
15663326,,15663326,2004
15687804,,15687804,2004
15702496,PMC12161881,15702496,2004
15706504,,15706504,2004
15742894,,15742894,2004
15894177,,15894177,2004
15901249,PMC5187447,15901249,2004
15915706,,15915706,2004
16448016,,16448016,2004
16646797,PMC1989150,16646797,2004
16646799,PMC2607478,16646799,2004
17060974,PMC2263778,17060974,2004
17270924,,17270924,2004
17271309,,17271309,2004
17271709,,17271709,2004
17271734,,17271734,2004
18007499,PMC6147355,18007499,2004
18007503,PMC6147358,18007503,2004
18629067,PMC2447351,18629067,2004
18629137,PMC2447425,18629137,2004
18629165,PMC2447455,18629165,2004
20351798,PMC2846376,20351798,2004
20526429,PMC2880521,20526429,2004
20948983,PMC2952957,20948983,2004
25664345,PMC4317290,25664345,2004
26005697,PMC4440800,26005697,2004
32214876,PMC7088333,32214876,2004
15496142,PMC1134861,15496142,2005
15581813,PMC2768070,15581813,2005
15608166,PMC540074,15608166,2005
15608169,PMC539981,15608169,2005
15608210,PMC540062,15608210,2005
15608254,PMC540040,15608254,2005
15608271,PMC540002,15608271,2005
15617982,,15617982,2005
15623308,,15623308,2005
15632283,PMC2253398,15632283,2005
15641127,PMC4250792,15641127,2005
15647297,,15647297,2005
15650198,PMC544119,15650198,2005
15652537,,15652537,2005
15661072,PMC548129,15661072,2005
15661073,PMC547909,15661073,2005
15665081,PMC548974,15665081,2005
15680584,,15680584,2005
15681474,PMC1867503,15681474,2005
15684131,PMC1090458,15684131,2005
15687295,PMC546534,15687295,2005
15694644,PMC3357327,15694644,2005
15695329,,15695329,2005
15696507,,15696507,2005
15697661,,15697661,2005
15701728,,15701728,2005
15703297,PMC548500,15703297,2005
15708978,PMC548664,15708978,2005
15719064,PMC548955,15719064,2005
15720773,,15720773,2005
15722481,PMC549412,15722481,2005
15725347,PMC553964,15725347,2005
15728355,PMC552913,15728355,2005
15728374,PMC552930,15728374,2005
15731210,,15731210,2005
15732138,,15732138,2005
15740634,PMC555590,15740634,2005
15741185,PMC552959,15741185,2005
15746281,,15746281,2005
15754417,PMC1389728,15754417,2005
15754987,,15754987,2005
15757678,,15757678,2005
15759618,PMC2894422,15759618,2005
15766383,PMC1274252,15766383,2005
15768403,,15768403,2005
15769832,,15769832,2005
15773999,PMC1083413,15773999,2005
15784134,PMC1087487,15784134,2005
15784611,PMC1069129,15784611,2005
15787013,,15787013,2005
15787142,,15787142,2005
15787155,,15787155,2005
15788095,PMC1274262,15788095,2005
15790388,PMC1087831,15790388,2005
15790421,PMC1274266,15790421,2005
15790898,PMC2928387,15790898,2005
15794155,,15794155,2005
15796999,,15796999,2005
15797003,,15797003,2005
15799998,,15799998,2005
15802476,PMC1174893,15802476,2005
15804359,PMC1084344,15804359,2005
15807485,,15807485,2005
15809315,,15809315,2005
15811782,,15811782,2005
15814561,,15814561,2005
15817129,PMC1090555,15817129,2005
15822155,PMC1389758,15822155,2005
15825208,,15825208,2005
15825497,,15825497,2005
15826317,PMC1090559,15826317,2005
15828008,,15828008,2005
15828652,,15828652,2005
15833135,PMC1088957,15833135,2005
15839328,,15839328,2005
15839329,,15839329,2005
15840817,PMC1370755,15840817,2005
15845847,,15845847,2005
15850477,PMC1131888,15850477,2005
15852509,,15852509,2005
15852517,,15852517,2005
15857247,,15857247,2005
15860559,,15860559,2005
15868101,PMC11924537,15868101,2005
15868827,,15868827,2005
15869393,PMC3035045,15869393,2005
15886278,,15886278,2005
15886390,PMC1092273,15886390,2005
15890068,PMC1174863,15890068,2005
15890743,,15890743,2005
15892875,PMC1175959,15892875,2005
15894180,,15894180,2005
15895191,PMC4780685,15895191,2005
15896867,PMC7134330,15896867,2005
15897005,,15897005,2005
15899795,,15899795,2005
15899970,PMC1140422,15899970,2005
15905485,PMC1205600,15905485,2005
15905486,PMC1205607,15905486,2005
15909332,PMC1389878,15909332,2005
15911982,,15911982,2005
15912582,,15912582,2005
15915811,,15915811,2005
15916555,,15916555,2005
15921464,,15921464,2005
15928346,PMC1370784,15928346,2005
15929793,PMC1177925,15929793,2005
15929907,PMC1257610,15929907,2005
15930489,PMC1142467,15930489,2005
15930497,PMC1142478,15930497,2005
15937014,PMC1569488,15937014,2005
15940994,,15940994,2005
15942029,PMC1143698,15942029,2005
15948174,PMC1852494,15948174,2005
15955732,,15955732,2005
15958165,PMC1181625,15958165,2005
15958172,PMC1183190,15958172,2005
15960825,PMC1771968,15960825,2005
15960826,PMC1869006,15960826,2005
15960827,PMC1869007,15960827,2005
15960828,PMC1869008,15960828,2005
15960830,PMC1869010,15960830,2005
15960831,PMC1869011,15960831,2005
15960835,PMC1869015,15960835,2005
15960836,PMC1869016,15960836,2005
15960837,PMC1869017,15960837,2005
15960839,PMC1869019,15960839,2005
15960840,PMC1869020,15960840,2005
15960841,PMC1869021,15960841,2005
15960842,PMC1869022,15960842,2005
15960843,PMC1869023,15960843,2005
15961466,PMC2857312,15961466,2005
15961480,,15961480,2005
15961495,,15961495,2005
15963230,PMC1182350,15963230,2005
15967031,PMC1181626,15967031,2005
15969900,,15969900,2005
15971924,,15971924,2005
15971931,,15971931,2005
15972015,,15972015,2005
15978569,,15978569,2005
15980436,PMC1160120,15980436,2005
15980444,PMC1160112,15980444,2005
15980447,PMC1160128,15980447,2005
15980458,PMC1160232,15980458,2005
15980459,PMC1160173,15980459,2005
15980479,PMC1160165,15980479,2005
15980516,PMC1160133,15980516,2005
15980571,PMC1160157,15980571,2005
15987514,PMC1198249,15987514,2005
15987518,PMC1188068,15987518,2005
15987530,PMC1182352,15987530,2005
15987883,PMC2279325,15987883,2005
15987894,PMC2279307,15987894,2005
15987953,PMC6725057,15987953,2005
15988830,PMC1160264,15988830,2005
15988831,PMC1160263,15988831,2005
15992409,PMC1182353,15992409,2005
15993746,,15993746,2005
15998451,PMC1175993,15998451,2005
15998455,PMC1175978,15998455,2005
15998909,PMC1172038,15998909,2005
15998914,PMC1172046,15998914,2005
16013750,,16013750,2005
16013754,,16013754,2005
16013755,,16013755,2005
16024165,,16024165,2005
16026599,PMC1637034,16026599,2005
16040153,,16040153,2005
16045309,,16045309,2005
16046621,PMC2279305,16046621,2005
16046813,PMC1184054,16046813,2005
16046818,PMC1184045,16046818,2005
16046821,PMC1184105,16046821,2005
16046822,PMC1184049,16046822,2005
16046827,PMC1184051,16046827,2005
16049227,PMC1294033,16049227,2005
16051225,,16051225,2005
16054254,,16054254,2005
16059665,,16059665,2005
16061837,PMC2909743,16061837,2005
16076401,PMC1189082,16076401,2005
16081059,,16081059,2005
16083255,PMC1852495,16083255,2005
16083507,PMC1208946,16083507,2005
16087442,PMC1854926,16087442,2005
16087885,PMC1187953,16087885,2005
16091410,,16091410,2005
16093310,PMC1189342,16093310,2005
16097747,,16097747,2005
16102941,,16102941,2005
16103899,PMC1183516,16103899,2005
16103922,PMC1183527,16103922,2005
16105897,PMC1987374,16105897,2005
16108091,,16108091,2005
16111489,PMC1208917,16111489,2005
16111865,,16111865,2005
16112532,,16112532,2005
16115317,PMC1208855,16115317,2005
16120216,PMC1224853,16120216,2005
16126873,PMC1770817,16126873,2005
16129453,,16129453,2005
16135255,PMC1239907,16135255,2005
16135881,PMC2263077,16135881,2005
16143512,PMC1482533,16143512,2005
16157470,,16157470,2005
16157471,,16157471,2005
16159917,,16159917,2005
16159919,,16159919,2005
16160175,PMC1211560,16160175,2005
16168083,PMC1242211,16168083,2005
16169252,,16169252,2005
16172632,PMC1214541,16172632,2005
16174845,PMC1234247,16174845,2005
16185681,,16185681,2005
16186349,PMC1866286,16186349,2005
16186350,PMC1832121,16186350,2005
16187402,,16187402,2005
16187409,PMC1390438,16187409,2005
16189967,,16189967,2005
16189970,PMC2435253,16189970,2005
16196487,,16196487,2005
16198995,,16198995,2005
16199521,PMC1253556,16199521,2005
16204087,,16204087,2005
16207358,PMC1257470,16207358,2005
16210830,,16210830,2005
16219102,PMC1274322,16219102,2005
16221309,PMC1277819,16221309,2005
16221310,PMC1276010,16221310,2005
16221937,PMC1380197,16221937,2005
16221938,PMC1380202,16221938,2005
16221976,PMC1253831,16221976,2005
16225690,PMC1276785,16225690,2005
16226240,,16226240,2005
16229415,,16229415,2005
16231961,,16231961,2005
16236170,PMC1276787,16236170,2005
16242237,,16242237,2005
16245324,PMC2483305,16245324,2005
16249492,PMC1941765,16249492,2005
16250641,,16250641,2005
16250658,,16250658,2005
16251364,PMC2253224,16251364,2005
16252834,,16252834,2005
16253142,PMC1291357,16253142,2005
16253221,,16253221,2005
16270906,PMC1280931,16270906,2005
16271137,PMC1312314,16271137,2005
16272513,PMC1287835,16272513,2005
16274478,PMC1315341,16274478,2005
16274699,,16274699,2005
16278240,,16278240,2005
16278948,,16278948,2005
16284194,PMC1199555,16284194,2005
16284202,PMC1283538,16284202,2005
16284664,,16284664,2005
16285673,,16285673,2005
16288055,,16288055,2005
16288665,PMC1314894,16288665,2005
16294750,,16294750,2005
16299234,,16299234,2005
16301772,,16301772,2005
16314258,,16314258,2005
16314408,,16314408,2005
16316334,PMC2667626,16316334,2005
16316461,PMC1345692,16316461,2005
16317074,,16317074,2005
16317501,,16317501,2005
16318636,PMC1343595,16318636,2005
16320331,,16320331,2005
16321970,,16321970,2005
